Info,0.25,0.375,0.5,0.625,0.75
none,12.29 ± 0.32,13.18 ± 0.40,13.82 ± 0.49,14.02 ± 1.38,11.78 ± 0.18
local,13.13 ± 0.41,13.57 ± 0.43,13.99 ± 0.09,13.49 ± 0.58,12.13 ± 0.13
global_scd,13.78 ± 0.40,14.84 ± 0.22,15.37 ± 0.84,12.93 ± 0.84,13.40 ± 0.56
global_scm,14.54 ± 0.60,14.18 ± 0.64,14.47 ± 0.75,16.63 ± 1.26,15.12 ± 0.27
global_traditional,12.33 ± 0.39,15.41 ± 0.59,17.52 ± 0.94,15.55 ± 1.59,14.22 ± 1.55
both_scd,14.78 ± 1.90,14.60 ± 0.45,14.36 ± 0.74,13.22 ± 0.85,12.58 ± 1.07
both_scm,18.79 ± 4.25,13.00 ± 0.43,14.58 ± 0.40,14.01 ± 1.09,16.15 ± 1.15
both_traditional,13.39 ± 0.69,13.85 ± 0.46,18.09 ± 0.84,16.09 ± 0.80,16.00 ± 0.06
