Info,0.25,0.375,0.5,0.625,0.75,All
UTT,31.30 ± 1.10,34.88 ± 1.08,45.45 ± 0.11,51.50 ± 0.34,66.96 ± 1.16,48.06 ± 0.41
UTT+ INT + SCD,32.43 ± 0.32,36.58 ± 0.46,45.64 ± 0.23,52.99 ± 0.56,66.38 ± 0.27,48.50 ± 0.06
UTT + INT + SCM,34.06 ± 0.51,36.57 ± 0.27,45.74 ± 0.92,51.35 ± 1.08,66.77 ± 0.19,48.36 ± 0.27
UTT + INT + Trad,31.28 ± 0.23,35.74 ± 1.41,44.70 ± 0.50,50.54 ± 1.35,66.41 ± 0.30,47.70 ± 0.31
UTT+ INT,32.05 ± 0.54,37.47 ± 0.91,45.60 ± 0.15,52.62 ± 0.27,66.62 ± 1.02,48.72 ± 0.26
UTT + SCD,31.62 ± 1.05,36.84 ± 1.11,45.48 ± 0.93,52.54 ± 0.39,65.29 ± 0.48,48.15 ± 0.37
UTT + SCM,33.91 ± 0.85,37.10 ± 0.44,45.29 ± 1.10,50.18 ± 0.37,66.08 ± 0.20,47.90 ± 0.13
UTT + Trad,30.47 ± 0.62,34.93 ± 0.63,43.83 ± 1.34,50.99 ± 0.50,64.48 ± 0.81,47.01 ± 0.25
