Info,0.25,0.375,0.5,0.625,0.75
none,58.55 ± 0.38,60.07 ± 0.74,63.35 ± 1.75,64.80 ± 0.39,66.75 ± 0.35
local,58.37 ± 0.05,59.13 ± 0.16,64.13 ± 0.20,66.33 ± 1.07,68.18 ± 1.58
global_scd,57.76 ± 0.20,60.39 ± 0.70,65.30 ± 0.10,65.72 ± 0.42,67.07 ± 0.41
global_scm,58.13 ± 1.14,58.08 ± 0.20,65.30 ± 0.27,65.36 ± 0.39,66.01 ± 0.18
global_traditional,58.43 ± 0.64,60.46 ± 1.15,64.76 ± 0.91,65.46 ± 0.19,66.85 ± 0.00
both_scd,56.68 ± 0.00,59.72 ± 0.99,64.78 ± 0.00,65.34 ± 0.47,66.03 ± 0.36
both_scm,59.84 ± 0.00,59.28 ± 0.00,65.80 ± 0.00,67.48 ± 0.00,66.69 ± 0.00
both_traditional,58.38 ± 0.59,58.34 ± 1.18,65.39 ± 1.46,64.63 ± 1.63,66.96 ± 0.43
